Test Case,Description,Object,Action ,DataColumn,WaitAfter
signup,Click title,user_title,click,,
signup,Select title,"//*[@id=""user_title""]/option[3]",click,,
signup,Enter firstname,user_firstname,input,firstname,
signup,Enter surname,user_surname,input,surname,
signup,Enter phone,user_phone,input,phone,
signup,Click year,user_dateofbirth_1i,click,,
signup,Select year,/html/body/div[3]/form/div[2]/div[3]/select[1]/option[46],click,,
signup,Click month,user_dateofbirth_2i,click,,
signup,Select month,/html/body/div[3]/form/div[2]/div[3]/select[2]/option[5],click,,
signup,Click date,user_dateofbirth_3i,click,,
signup,Select date,/html/body/div[3]/form/div[2]/div[3]/select[3]/option[2],click,,
signup,Select licencetype,/html/body/div[3]/form/div[2]/div[4]/label[2],click,,
signup,Clicklicenceperiod,user_licenceperiod,click,,
signup,Select licenceperiod,/html/body/div[3]/form/div[2]/div[5]/select/option[2],click,,
signup,Click occupation,user_occupation_id,click,,
signup,Select occupation,/html/body/div[3]/form/div[2]/div[6]/select/option[11],click,,
signup,Enter street,user_address_attributes_street,input,street,
signup,Enter city,user_address_attributes_city,input,city,
signup,Enter county,user_address_attributes_county,input,country,
signup,Enter postcode,user_address_attributes_postcode,input,postcode,
signup,Enter email,user_user_detail_attributes_email,input,email,
signup,Enter password,user_user_detail_attributes_password,input,password,
signup,Retype password,user_user_detail_attributes_password_confirmation,input,confirmpassword,
signup,Click create,"//*[@id=""new_user""]/div[5]/input[2]",click,,
,Verify text,,verifyText,errMsg,
